source_id,paper_id,doi,title,year,journal,local_pdf_path,sha256,page_count,dataset_scope,source_type,full_text_verified,readable,access_type,license_name,license_url,included_in_capacity_training,source_note
SRC-0001,FREE-1,10.1016/j.jma.2023.07.002,Catalytic mechanisms of nickel nanoparticles for the improved dehydriding kinetics of magnesium hydride,2024,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/carbon_supported/FREE-1__2024__Ni_at_C.pdf,cb7f601481001cce5a28b4392d68cee08a1131bf4713111798b591356551d16c,11,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0002,FREE-2,10.1016/j.jma.2022.07.004,In situ formation of multiple catalysts for enhancing the hydrogen storage of MgH2 by adding porous Ni3ZnC0.7/Ni loaded carbon nanotubes microspheres,2024,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/carbon_supported/FREE-2__2024__Ni3ZnC_Ni_at_CNT.pdf,f0d6d62754d05c32abf03fd806d0ba3d995e28ede79b891ffade7def9b1853aa,12,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0003,FREE-3,10.1016/j.jma.2023.10.003,Layered double hydroxide-derived Mg2Ni/TiH1.5 composite catalysts for enhancing hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-3__2024__Mg2Ni_TiH1p5.pdf,8e90ab9257cc85ffcc9658589878d92f611d7e1c8cc5530486f53ea7d9b482ea,10,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0004,FREE-4,10.1016/j.jma.2022.04.006,Improvement effect of reversible solid solutions Mg2Ni(Cu)/Mg2Ni(Cu)H4 on hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-4__2024__NiCu_at_C.pdf,dd2952e502b4dc48622f0d9e52d1a2c64edf888821fcc088856b0344f02a3388,12,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0005,FREE-5,10.1016/j.jma.2023.11.010,Hydrogen storage performance of MgH2 under catalysis by highly dispersed nickel-nanoparticle-doped hollow spherical vanadium nitride,2024,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/nitrides_carbides_mxenes/FREE-5__2024__Ni_VN.pdf,3b4bea41f45c0aef096b24e863c381fec081893bd4261d9585c24fdddc1703d4,12,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0006,FREE-7,10.1016/j.jma.2024.03.025,LaVO4 prepared by a high-yield method for superior catalysis to the hydrogen storage of MgH2,2025,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-7__2025__LaVO4.pdf,9ad4164e8a5c5b079f6fe7ecafb6481df1f0ab2db8d067d21876b976a0687897,13,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0007,FREE-8,10.1016/j.jma.2024.02.012,Constructing VO/V2O3 interface to enhance hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-8__2024__VO_V2O3.pdf,d6d6a9fbc767279cb65852d4e99bf5aed77e65e98b8731f213b31b0b4159fcce,10,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0008,FREE-9,10.1016/j.jma.2021.11.005,NaH doped TiO2 as a high-performance catalyst for Mg/MgH2 cycling stability and room temperature absorption,2023,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-9__2023__NaH_TiO2.pdf,184e874eb29f9ab0e113d9fb7515faef29f0b964a4cb8140b61964426af9ce7b,10,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0009,FREE-10,10.1016/j.jma.2025.01.012,Vanadium induces Ni-Co MOF formation from a NiCo LDH to catalytically enhance the MgH2 hydrogen storage performance,2025,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-10__2025__V_NiCo_MOF.pdf,848e02d3a70e6ffa9312ad1a8bb5423b18cd625620822c95dce996391541846c,12,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0010,FREE-11,10.1016/j.jma.2024.12.015,Graphene oxide supported oxygen vacancy-rich Co3O4 and Ni nanoparticle for boosting the hydrogen storage properties of MgH2,2026,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-11__2026__Co3O4_Ni_GO.pdf,e0e60665133ed5489b50e703037e62c919bbfacab431029f4a195113962cbe90,12,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0011,FREE-12,10.1016/j.jma.2025.06.014,Enhancing hydrogen storage performance of MgH2 with hollow Bi2Ti2O7 catalyst: Synergistic effects of Bi2Mg3 alloy phase and Ti polyvalency,2025,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-12__2025__Bi2Ti2O7.pdf,812e05802362b9fd3a6ec6e3ed0290d3a2469741cd97ba129dab1855062e2acb,13,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0012,FREE-14,10.1016/j.jma.2024.10.011,Cation-induced topical disordered niobium nickel oxide for robust hydrogen storage in magnesium hydride,2025,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-14__2025__Ni_Nb_oxide.pdf,03ce2369e08aa6892bd301bdd5ebec05701d664d9a828b82bc551f1d39646334,12,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0013,FREE-15,10.1016/j.jma.2025.02.032,Chemically stable TMOx@Ti-MgO (TM = Mn and Cu) catalyst enhanced de/hydrogenation kinetics of Mg/MgH2,2026,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/oxides/FREE-15__2026__TMOx_Ti_MgO.pdf,eb264b0304351fe7ec6edc160d8c0ea1575ff57d92184eefb6799e860e8c5262,9,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
SRC-0014,FREE-16,10.1016/j.jma.2026.102033,Synthesis of sulfur self-doped FeNi-S coordinated carbon derived from petroleum coke for accelerated Mg/MgH2 hydrogen storage,2026,Journal of Magnesium and Alloys,data/phase4_data_sources/core_primary/sulfides/FREE-16__2026__FeNi_S_carbon.pdf,2e1fa99cd8f58b827b7d65b25f8bf1cfa912437433269fd68b7e51ec5eb41e28,15,core_mgh2,primary_experimental_article,true,true,open_access_version_of_record,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true,
